,X,Y,Z
329,0.07,-1.13,-0.05
330,0.07,-1.13,-0.05
331,0.07,-1.13,-0.05
332,0.02,-1.18,-0.12
333,0.02,-1.18,-0.12
334,0.13,-1.18,-0.05
335,0.13,-1.18,-0.05
336,0.13,-1.18,-0.05
337,-0.0,-1.24,-0.12
338,-0.0,-1.24,-0.12
339,0.08,-1.18,-0.1
340,0.08,-1.18,-0.1
341,0.08,-1.18,-0.1
342,0.02,-1.07,-0.07
343,0.02,-1.07,-0.07
344,-0.09,-1.04,-0.06
345,-0.09,-1.04,-0.06
346,-0.09,-1.04,-0.06
347,0.04,-1.04,-0.02
348,0.04,-1.04,-0.02
349,-0.09,-1.07,-0.09
350,-0.09,-1.07,-0.09
351,-0.09,-1.07,-0.09
352,0.04,-1.04,0.05
353,0.04,-1.04,0.05
354,0.05,-1.07,-0.07
355,0.05,-1.07,-0.07
356,0.05,-1.07,-0.07
357,0.05,-1.07,-0.07
358,0.05,-1.07,-0.07
359,0.04,-1.07,-0.05
360,0.04,-1.07,-0.05
361,0.09,-1.01,-0.06
362,0.09,-1.01,-0.06
363,0.09,-1.01,-0.06
364,-0.01,-1.1,0.01
365,-0.01,-1.1,0.01
366,0.02,-1.07,-0.04
367,0.02,-1.07,-0.04
368,0.02,-1.07,-0.04
369,-0.04,-1.01,-0.02
370,-0.04,-1.01,-0.02
371,0.04,-1.07,0.05
372,-0.04,-0.93,0.03
373,-0.04,-0.93,0.03
374,-0.15,-0.93,0.04
375,-0.15,-0.93,0.04
376,-0.05,-0.9,0.15
377,-0.05,-0.9,0.15
378,-0.07,-0.93,0.03
379,-0.15,-0.96,0.02
380,-0.15,-0.93,0.02
381,-0.07,-0.9,0.08
382,-0.07,-0.9,0.08
383,0.05,-0.9,0.08
384,0.05,-0.9,0.08
385,0.05,-0.9,0.08
386,-0.12,-0.87,0.01
387,-0.12,-0.87,0.01
388,-0.12,-0.87,0.01
389,-0.12,-0.87,0.01
390,-0.12,-0.87,0.01
391,-0.15,-0.87,0.06
392,-0.15,-0.87,0.06
393,0.12,-0.96,0.06
394,0.12,-0.96,0.06
395,0.12,-0.96,0.06
396,-0.05,-0.9,0.11
397,-0.05,-0.9,0.11
398,0.15,-0.9,-0.01
399,0.15,-0.9,-0.01
400,0.15,-0.9,-0.01
401,0.0,-0.9,0.15
402,0.0,-0.9,0.15
403,-0.12,-0.93,0.01
404,-0.12,-0.93,0.01
405,-0.12,-0.93,0.01
406,0.03,-0.76,0.15
407,0.06,-0.79,0.1
408,0.11,-0.76,0.07
409,0.11,-0.76,0.07
410,0.02,-0.79,0.06
411,0.04,-0.76,0.03
412,0.08,-0.76,0.12
413,0.11,-0.76,0.14
414,0.11,-0.79,0.1
415,0.09,-0.84,0.05
416,-0.01,-0.79,0.01
417,-0.01,-0.79,0.01
418,0.06,-0.76,0.12
419,0.13,-0.76,0.14
420,0.11,-0.7,0.12
421,0.06,-0.79,0.05
422,-0.02,-0.76,0.01
423,-0.02,-0.76,0.03
424,-0.02,-0.76,0.03
425,0.11,-0.76,0.17
426,0.08,-0.76,0.1
427,0.06,-0.79,0.03
428,0.01,-0.76,0.01
429,0.01,-0.76,0.01
430,0.08,-0.76,0.12
431,0.08,-0.73,0.15
432,0.09,-0.76,0.07
433,0.06,-0.81,0.07
434,-0.02,-0.76,0.03
435,-0.02,-0.7,0.03
436,-0.02,-0.7,0.03
437,0.11,-0.67,0.07
438,0.09,-0.67,0.07
439,0.06,-0.64,0.03
440,-0.02,-0.62,0.03
441,-0.02,-0.64,0.01
442,0.01,-0.67,0.03
443,0.08,-0.7,0.1
444,0.11,-0.67,0.07
445,0.04,-0.7,0.03
446,-0.01,-0.67,-0.02
447,0.01,-0.7,-0.02
448,0.01,-0.7,-0.02
449,0.11,-0.64,0.12
450,0.14,-0.64,0.07
451,0.04,-0.67,0.03
452,-0.04,-0.7,-0.04
453,-0.02,-0.67,0.03
454,0.06,-0.67,0.08
455,0.08,-0.62,0.1
456,0.11,-0.62,0.12
457,0.12,-0.64,0.02
458,0.01,-0.67,-0.02
459,-0.01,-0.62,-0.02
460,0.06,-0.67,0.03
461,0.06,-0.67,0.08
462,0.06,-0.59,0.12
463,0.09,-0.59,0.05
464,0.01,-0.56,0.06
465,-0.02,-0.56,0.06
466,0.04,-0.53,0.03
467,0.06,-0.59,0.1
