Bx,By,Bz
1.802514133129308149e+01,-8.690966286530848350e+00,-3.214042027785582434e+01
1.800774540350645836e+01,-8.709312220409534788e+00,-3.217623831919828348e+01
1.799036912191391124e+01,-8.727618969830746920e+00,-3.221207876792229285e+01
1.797301238788626065e+01,-8.745886376661132999e+00,-3.224794161525303338e+01
1.795567510425478019e+01,-8.764114284287026990e+00,-3.228382685323531121e+01
1.793835717191123891e+01,-8.782302536000514692e+00,-3.231973446706582820e+01
1.792105849492454794e+01,-8.800450977430388733e+00,-3.235566444662010355e+01
1.790377897713601740e+01,-8.818559454922706209e+00,-3.239161677879283019e+01
1.788651852301707379e+01,-8.836627815949420039e+00,-3.242759144942803573e+01
1.786927703767405973e+01,-8.854655909110446643e+00,-3.246358844333182248e+01
1.785205442685306565e+01,-8.872643584135822437e+00,-3.249960774428516430e+01
1.783485059694463359e+01,-8.890590691887643615e+00,-3.253564933505666801e+01
1.781766545582070904e+01,-8.908497084744173122e+00,-3.257171319936795584e+01
1.780049890950655822e+01,-8.926362615070138062e+00,-3.260779931409975063e+01
1.778335086718750091e+01,-8.944187137519852726e+00,-3.264390766100939345e+01
1.776622123787554486e+01,-8.961970507502199368e+00,-3.268003821894482286e+01
1.774910993124891334e+01,-8.979712581566728247e+00,-3.271619096580600683e+01
1.773201685765568314e+01,-8.997413217405373587e+00,-3.275236587855795278e+01
1.771494192811756108e+01,-9.015072273854114471e+00,-3.278856293324448501e+01
1.769788505515013810e+01,-9.032689611257687545e+00,-3.282478210698040755e+01
1.768084614949793831e+01,-9.050265090014674385e+00,-3.286102337005139873e+01
1.766382512504449664e+01,-9.067798572767044263e+00,-3.289728669779154302e+01
1.764682189554248382e+01,-9.085289922939624674e+00,-3.293357206269048021e+01
1.762983637543576876e+01,-9.102739005107180148e+00,-3.296987943638213636e+01
1.761286847986294646e+01,-9.120145684995446089e+00,-3.300620878965816729e+01
1.759591812465992078e+01,-9.137509829482098667e+00,-3.304256009248119597e+01
1.757898522716398304e+01,-9.154831306941483504e+00,-3.307893331600235598e+01
1.756206970301208870e+01,-9.172109985865779080e+00,-3.311532842455977743e+01
1.754517147095334550e+01,-9.189345736939506182e+00,-3.315174538770938995e+01
1.752829044964286354e+01,-9.206538431654843535e+00,-3.318818417223066319e+01
1.751142655844689600e+01,-9.223687942659013927e+00,-3.322464474414044844e+01
1.749457971744557128e+01,-9.240794143754802903e+00,-3.326112706870700464e+01
1.747774984743505655e+01,-9.257856909900635145e+00,-3.329763111046274560e+01
1.746093686992974625e+01,-9.274876117210840931e+00,-3.333415683321765499e+01
1.744414070794644189e+01,-9.291851643277926343e+00,-3.337070420210535815e+01
1.742736128287604558e+01,-9.308783365881588168e+00,-3.340727317547043640e+01
1.741059851918431178e+01,-9.325671164929172363e+00,-3.344386371706534788e+01
1.739385234127873758e+01,-9.342514921159073893e+00,-3.348047578794462709e+01
1.737712267429437674e+01,-9.359314516465573774e+00,-3.351710934850792967e+01
1.736040944409535314e+01,-9.376069833898514005e+00,-3.355376435851334804e+01
1.734371257727628546e+01,-9.392780757662908542e+00,-3.359044077709073406e+01
1.732703200192929671e+01,-9.409447173420886656e+00,-3.362713856481040864e+01
1.731036764458054833e+01,-9.426068967078476746e+00,-3.366385767547809849e+01
1.729371943479179663e+01,-9.442646026608143117e+00,-3.370059806847108774e+01
1.727708730209219823e+01,-9.459178240829812623e+00,-3.373735970053969169e+01
1.726047117674686149e+01,-9.475665499715521634e+00,-3.377414252787316684e+01
1.724387098975800825e+01,-9.492107694388096206e+00,-3.381094650611214547e+01
1.722728667286545345e+01,-9.508504717120359828e+00,-3.384777159036243432e+01
1.721071815929620996e+01,-9.524856461617051906e+00,-3.388461773728631243e+01
1.719416538076590228e+01,-9.541162821879870748e+00,-3.392148489680896262e+01
1.717762827198120590e+01,-9.557423693911038853e+00,-3.395837302458717488e+01
1.716110676763637954e+01,-9.573638974572606486e+00,-3.399528207372218702e+01
1.714460080316505142e+01,-9.589808561870562187e+00,-3.403221199684708864e+01
1.712811031474013745e+01,-9.605932354953331753e+00,-3.406916274614008699e+01
1.711163523927381647e+01,-9.622010254110136884e+00,-3.410613427333762360e+01
1.709517551441720684e+01,-9.638042160769586530e+00,-3.414312652974816586e+01
1.707873107929093948e+01,-9.654027977757474233e+00,-3.418013946836578043e+01
1.706230187156020150e+01,-9.669967608252369118e+00,-3.421717303548067690e+01
1.704588783182423839e+01,-9.685860957352366185e+00,-3.425422718329332383e+01
1.702948890068651622e+01,-9.701707931024444065e+00,-3.429130186152955417e+01
1.701310501948709586e+01,-9.717508436365298152e+00,-3.432839701955266776e+01
1.699673613030176611e+01,-9.733262381599086410e+00,-3.436551260637633476e+01
1.698038217594116972e+01,-9.748969676075150304e+00,-3.440264857067730730e+01
1.696404310066392185e+01,-9.764630230505536801e+00,-3.443980486292973353e+01
1.694771884731681766e+01,-9.780243956000107985e+00,-3.447698142693580792e+01
1.693140936162495080e+01,-9.795810765512120710e+00,-3.451417821255803631e+01
1.691511458932746237e+01,-9.811330572867134947e+00,-3.455139516725468241e+01
1.689883447689235041e+01,-9.826803293003228745e+00,-3.458863223821148836e+01
1.688256897151476110e+01,-9.842228841968399422e+00,-3.462588937235469189e+01
1.686631802111540779e+01,-9.857607136917639679e+00,-3.466316651636369528e+01
1.685008157433901488e+01,-9.872938096110042139e+00,-3.470046361668378410e+01
1.683385958124775428e+01,-9.888221639122486195e+00,-3.473778062168108960e+01
1.681765199053547022e+01,-9.903457685976301050e+00,-3.477511747308723500e+01
1.680145875370520159e+01,-9.918646158443731764e+00,-3.481247411885981080e+01
1.678527982227844007e+01,-9.933786979168630182e+00,-3.484985050463210854e+01
1.676911514849042817e+01,-9.948880071882900467e+00,-3.488724657586556788e+01
1.675296468528844329e+01,-9.963925361402806047e+00,-3.492466227786186295e+01
1.673682838632890579e+01,-9.978922773625543030e+00,-3.496209755577503131e+01
1.672070620665432372e+01,-9.993872235722278674e+00,-3.499955235678462628e+01
1.670459809997130307e+01,-1.000877367534541840e+01,-3.503702662146937286e+01
1.668850402273030653e+01,-1.002362702181270393e+01,-3.507452029677300231e+01
1.667242393139898127e+01,-1.003843220530842473e+01,-3.511203332738276828e+01
1.665635778314103632e+01,-1.005318915707891492e+01,-3.514956565789920973e+01
1.664030553581319438e+01,-1.006789780942848900e+01,-3.518711723284791759e+01
