,Bx,By,Bz
1748,25.91858171518506,4.6925805934871665,30.255205042197936
1749,25.92156678864036,4.688215619904807,30.259543946743324
1750,25.92456010937929,4.683830609635044,30.26383952771752
1751,25.927561634388283,4.679425592271256,30.2680917132252
1752,25.930571320309586,4.6750005975407865,30.27230043096508
1753,25.933589123580717,4.670555654300562,30.276465611600408
1754,25.93661500022727,4.666090792032557,30.280587183698252
1755,25.939648906002198,4.661606039842129,30.28466507710047
1756,25.942690796351958,4.657101426703564,30.28869922207859
1757,25.945740626383046,4.652576981713286,30.29268954849117
1758,25.948798351000303,4.64803273306064,30.296635989144935
1759,25.95186392470127,4.643468709561148,30.300538474747466
1760,25.954937301714917,4.638884939629898,30.30439693726911
1761,25.958018435933855,4.634281451795415,30.308211308261217
1762,25.961107281051568,4.629658273650576,30.311981522209063
1763,25.964203790358823,4.6250154334161095,30.315707511496345
1764,25.967307916881207,4.620352958894015,30.31938920975923
1765,25.97041961334565,4.61567087772501,30.32302655104482
1766,25.973538832148098,4.610969217653248,30.326619468973
1767,25.976665525488908,4.60624800545247,30.330167900079193
1768,25.979799645172175,4.601507268527143,30.333671778793853
1769,25.982941142741137,4.596747033841182,30.337131040785994
1770,25.986089969446063,4.59196732818177,30.340545622124704
1771,25.989246076211753,4.5871681784306055,30.343915458442662
1772,25.9924094137715,4.582349610465318,30.34724048826904
1773,25.995579932469138,4.577511650798327,30.350520648023895
1774,25.998757582393075,4.572654325480697,30.353755875351716
1775,26.00194231331147,4.567777660651821,30.356946107453307
1776,26.00513407480419,4.562881681420821,30.360091284409755
1777,26.008332816068023,4.5579664135355955,30.36319134418991
1778,26.01153848604854,4.553031882266896,30.3662462259748
1779,26.014751033408803,4.548078112683795,30.369255869323528
1780,26.017970406498645,4.543105129936645,30.37222021334195
1781,26.021196553484096,4.538112958113877,30.37513919999542
1782,26.024429422156206,4.533101621948696,30.37801276913225
1783,26.027668960060943,4.52807114567853,30.380840861797832
1784,26.030915114436784,4.523021553617289,30.38362341857593
1785,26.034167832342384,4.517952868992588,30.386360382892995
1786,26.037427060468367,4.512865115682412,30.38905169605444
1787,26.040692745265357,4.507758317054778,30.39169730054997
1788,26.04396483291379,4.502632496254767,30.39429713922381
1789,26.0472432692945,4.497487676499121,30.396851154448164
1790,26.050528000113424,4.492323879888561,30.39935929141586
1791,26.05381897071816,4.48714112918233,30.401821493193967
1792,26.057116126222812,4.481939446613053,30.404237704017184
1793,26.0604194114486,4.476718854482036,30.40660786763983
1794,26.063728771046176,4.471479373951686,30.408931930618788
