,SIM X,SIM Y,SIM Z,PWM_X+,PWM_X-,PWM_Y+,PWM_Y-,PWM_Z+,PWM_Z-
46,34.47887575934463,1.8869711984358528,34.47887575934463,46.47365321137965,0,34.13069508146106,0,0,67.40608029430129
47,34.46407381104834,1.882792563754912,34.46407381104834,45.384022266621336,0,33.884657900235624,0,0,65.61964891862787
48,34.44918111457568,1.878572007795424,34.44918111457568,45.72992783949972,0,33.977517939212746,0,0,66.10236023371017
49,34.43419789086245,1.8743094171689656,34.43419789086245,46.17091729381197,0,34.16906502505758,0,0,66.92893806045491
50,34.41912436382733,1.8700046791670208,34.41912436382733,45.8665391129486,0,34.089088420892665,0,0,66.41910463247201
51,34.403960757687344,1.8656576818091275,34.403960757687344,45.58134290138531,0,33.622376829938304,0,0,67.09258062540368
52,34.388707299303924,1.8612683137968824,34.388707299303924,45.31487939790493,0,33.823718398922715,0,0,65.94408514924672
53,34.373364217175435,1.856836464530636,34.373364217175435,45.72670048378211,0,33.657900721575906,0,0,67.46333575658431
54,34.3579317403951,1.852362024170284,34.3579317403951,44.96135918575763,0,33.44471084242734,0,0,66.79004846672665
55,34.342410101046056,1.8478448835252608,34.342410101046056,44.98840969098791,0,33.57893526005364,0,0,66.66393775285225
56,34.32679953144138,1.8432849342009283,34.32679953144138,45.70740734819481,0,33.98535993105828,0,0,66.24971657149963
57,34.31110026653562,1.8386820684661684,34.31110026653562,45.997908680872904,0,33.92377027338912,0,0,67.93709635506885
58,34.295312542888794,1.8340361793066944,34.295312542888794,44.93947139531686,0,33.55895116992259,0,0,66.70078702023292
59,34.279436597595186,1.8293471605229568,34.279436597595186,45.28165438329279,0,33.52068697253737,0,0,67.54549699224205
60,34.26347267074545,1.8246149065332544,34.26347267074545,44.98901773702004,0,33.61376150520363,0,0,66.85093319224913
61,34.247421002588965,1.8198393126190944,34.247421002588965,45.921122749964866,0,33.997958068299084,0,0,67.001801066964
62,34.23128183601323,1.8150202747057849,34.23128183601323,45.93753193003102,0,33.94805944182801,0,0,68.14280458133555
63,34.2150554154785,1.810157689452724,34.2150554154785,45.09780900742354,0,33.51884788909163,0,0,67.6286462271319
64,34.198741985917,1.8052514543888096,34.198741985917,45.506518937008565,0,33.70010516103568,0,0,68.14902704739545
65,34.182341795263106,1.8003014676277052,34.182341795263106,44.843227913324085,0,33.58661249917421,0,0,67.00364662395943
66,34.165855091537445,1.7953076282133724,34.165855091537445,45.15250337101132,0,33.748150640241064,0,0,66.7672031072394
67,34.14928212539421,1.7902698358125924,34.14928212539421,45.03891399798236,0,33.72949981930402,0,0,66.71939320910057
68,34.132623149026124,1.7851879908426456,34.132623149026124,45.83702974311298,0,33.950439773517246,0,0,68.01491221160803
69,34.11587841503384,1.7800619946443892,34.11587841503384,45.431421818282175,0,33.7157497467392,0,0,68.39845399162614
70,34.0990481790252,1.7748917491092588,34.0990481790252,44.821662713408195,0,33.4652084922855,0,0,67.67971100852682
71,34.082132696619155,1.7696771571253191,34.082132696619155,45.192326196503984,0,33.79859427791209,0,0,66.87837433411975
72,34.065132226063064,1.7644181221814543,34.065132226063064,45.71298732681932,0,33.815684888819355,0,0,68.69913364570469
73,34.04804702710754,1.7591145485326498,34.04804702710754,44.67822246235701,0,33.57125763148262,0,0,67.2166772349821
74,34.030877359845405,1.7537663414110924,34.030877359845405,45.16760926158405,0,33.77508933853808,0,0,67.16069203278188
75,34.013623487380855,1.7483734065640455,34.013623487380855,45.54572669848831,0,33.821956371358304,0,0,68.62586359697285
76,33.996285672752876,1.7429356508015743,33.996285672752876,45.05215506225268,0,33.721634625366164,0,0,67.33687614250317
77,33.97886418162265,1.7374529815113688,33.97886418162265,45.42147597036592,0,33.80889953292301,0,0,68.4334125346439
78,33.96135928111783,1.731925306861948,33.96135928111783,45.078272375955066,0,33.75352606723275,0,0,67.35015429806114
79,33.943771238640615,1.7263525360520555,33.943771238640615,44.99712856915815,0,33.57528874749304,0,0,68.57678164166599
80,33.926100324607944,1.720734578758861,33.926100324607944,44.57263019219786,0,33.468961641287336,0,0,67.72297344672745
81,33.90834680929308,1.7150713457878624,33.90834680929308,45.10436423866325,0,33.594318370226645,0,0,68.84840729702299
82,33.890510965584106,1.7093627484979208,33.890510965584106,44.781919066583775,0,33.616132112716244,0,0,67.57775947227276
83,33.87259306779807,1.703608699042786,33.87259306779807,44.564884405574126,0,33.40917560793019,0,0,68.29070495736318
84,33.85459339045694,1.6978091106589075,33.85459339045694,44.53785135785883,0,33.38322116122473,0,0,68.27191746730537
85,33.83651221110054,1.6919638970234403,33.83651221110054,45.22041241336153,0,33.70804064634193,0,0,69.05606943555716
86,33.81834980704466,1.6860729730070463,33.81834980704466,44.56716144858483,0,33.37840551137715,0,0,68.52783204425712
87,33.8001064582121,1.6801362540085023,33.8001064582121,44.89269373964531,0,33.67908678141967,0,0,67.9518752178554
88,33.78178244591516,1.6741536562346588,33.78178244591516,44.936605969221105,0,33.57485506259296,0,0,69.13786763248942
89,33.76337805159991,1.668125097026926,33.76337805159991,45.12349622722064,0,33.725480547727585,0,0,68.63547674104106
90,33.744893559732326,1.6620504941286312,33.744893559732326,44.65796402588228,0,33.42073301837074,0,0,68.98936876167144
91,33.726329254471814,1.6559297665411343,33.726329254471814,44.51461029824136,0,33.48038185107641,0,0,68.11420870813718
92,33.70768542257608,1.6497628337676995,33.70768542257608,45.10303741112175,0,33.6541960199149,0,0,69.24966038361693
93,33.68896235215172,1.6435496161321554,33.68896235215172,44.77284917188035,0,33.61694410057568,0,0,68.14538639023003
